V1,V2,V3,V4,V5,V6,V7,V8
-210,840,120,0,-120,-90,210,30
-240,-30,-30,30,-180,-150,NA,NA
-300,1080,0,0,-150,-120,180,-30
NA,NA,NA,NA,NA,NA,NA,NA
-210,810,120,30,-90,-60,180,-30
-120,270,60,120,0,30,NA,NA
-270,960,30,90,-150,-120,120,60
NA,NA,NA,NA,NA,NA,NA,NA
-180,690,90,-60,-180,-60,210,60
-120,180,60,150,-60,-60,NA,NA
-240,870,0,60,-90,-30,240,60
NA,NA,NA,NA,NA,NA,NA,NA
-180,660,60,-30,-150,-30,300,180
-210,180,-30,-30,-150,-150,NA,NA
-210,840,0,90,-150,-90,240,60
NA,NA,NA,NA,NA,NA,NA,NA
-240,900,150,30,-150,-90,90,-120
-240,120,-60,0,-90,-60,NA,NA
-270,990,60,60,-150,-90,90,-90
NA,NA,NA,NA,NA,NA,NA,NA
-210,810,30,-60,-150,-90,90,-60
-240,-90,30,90,-90,-60,NA,NA
-330,1050,0,60,-180,-120,60,-30
NA,NA,NA,NA,NA,NA,NA,NA
-120,810,180,30,-150,-180,120,-150
-270,150,-60,30,-60,30,NA,NA
-300,870,-60,0,-210,-90,210,60
NA,NA,NA,NA,NA,NA,NA,NA
-150,750,120,30,-60,-90,60,-60
-150,180,60,60,-120,-30,NA,NA
-270,870,0,90,-150,-30,120,0
NA,NA,NA,NA,NA,NA,NA,NA
-270,900,180,60,-270,-120,450,-840
-210,90,90,180,30,150,NA,NA
-300,1050,-30,-90,-360,-240,330,-570
NA,NA,NA,NA,NA,NA,NA,NA
-270,900,210,30,-240,-90,360,-540
-180,180,-30,-240,-90,30,NA,NA
-300,990,60,180,-270,-150,300,-420
NA,NA,NA,NA,NA,NA,NA,NA
-240,810,210,60,-270,-150,300,-720
-180,-90,-210,120,-30,-270,NA,NA
-270,840,-30,60,-210,30,480,-840
NA,NA,NA,NA,NA,NA,NA,NA
-180,750,150,60,-210,-90,360,-480
-180,180,-30,-30,120,-120,NA,NA
-180,840,0,120,-330,-90,360,-510
NA,NA,NA,NA,NA,NA,NA,NA
-270,1020,270,150,-240,-90,240,-930
-150,0,-180,-90,-270,30,NA,NA
-330,1170,240,180,-360,-150,180,-810
NA,NA,NA,NA,NA,NA,NA,NA
-180,1020,240,60,-300,-150,120,-960
-240,-120,0,-210,-90,210,NA,NA
-300,1050,0,120,-330,-120,150,-600
NA,NA,NA,NA,NA,NA,NA,NA
-240,840,210,60,-330,-180,270,-1170
-210,60,-150,180,0,-90,NA,NA
-240,930,0,90,-450,-210,240,-1080
NA,NA,NA,NA,NA,NA,NA,NA
-210,780,150,60,-300,-150,150,-840
-240,60,-60,-60,60,-30,NA,NA
-240,840,-30,90,-360,-120,180,-720
NA,NA,NA,NA,NA,NA,NA,NA
-90,960,60,-30,-90,-90,120,0
-60,150,0,30,-60,-30,NA,NA
-210,1170,0,30,-90,-90,120,60
NA,NA,NA,NA,NA,NA,NA,NA
-90,930,60,30,-60,-60,120,30
-330,60,0,0,-90,-60,NA,NA
-90,1140,0,30,-90,-90,90,30
NA,NA,NA,NA,NA,NA,NA,NA
-60,810,30,0,-60,-30,180,60
-30,270,0,0,-90,-60,NA,NA
-150,960,-30,0,-120,-90,120,30
NA,NA,NA,NA,NA,NA,NA,NA
-60,780,60,0,-90,-60,120,30
-120,270,0,30,-60,-30,NA,NA
-120,930,30,30,-90,-60,120,60
NA,NA,NA,NA,NA,NA,NA,NA
-150,990,120,30,-120,-90,60,-60
-60,300,30,60,-60,-30,NA,NA
-120,1140,0,30,-120,-90,60,0
NA,NA,NA,NA,NA,NA,NA,NA
-60,960,60,30,-60,-30,60,0
60,210,30,30,-90,-60,NA,NA
-240,1140,30,60,-60,-30,60,-30
NA,NA,NA,NA,NA,NA,NA,NA
-60,870,60,30,-120,-90,60,-30
-270,150,0,0,-120,-60,NA,NA
-120,1050,0,30,-120,-60,90,0
NA,NA,NA,NA,NA,NA,NA,NA
-60,840,60,0,-90,-60,60,-30
270,600,-30,0,-120,-60,NA,NA
-180,960,30,30,-90,-30,90,-30
NA,NA,NA,NA,NA,NA,NA,NA
-90,1080,180,0,-240,-120,330,-810
-120,180,30,180,60,-120,NA,NA
-300,1050,-120,0,-300,-120,330,-810
NA,NA,NA,NA,NA,NA,NA,NA
-120,1050,180,60,-210,-90,270,-510
-150,210,150,150,120,-60,NA,NA
-150,1140,0,30,-300,-120,240,-480
NA,NA,NA,NA,NA,NA,NA,NA
-90,960,180,60,-180,-60,330,-630
60,150,-120,-120,-240,-150,NA,NA
-210,900,-90,90,-210,-90,300,-720
NA,NA,NA,NA,NA,NA,NA,NA
-60,870,150,60,-210,-90,300,-690
240,600,330,360,330,420,NA,NA
-120,900,0,60,-270,-150,240,-180
NA,NA,NA,NA,NA,NA,NA,NA
-150,1140,270,90,-240,-120,30,-960
-150,0,-270,-120,-90,0,NA,NA
-300,1200,60,180,-270,0,150,-840
NA,NA,NA,NA,NA,NA,NA,NA
-120,1080,180,60,-240,-120,0,-810
90,210,30,30,300,390,NA,NA
-240,1110,0,30,-300,-30,90,-300
NA,NA,NA,NA,NA,NA,NA,NA
-120,960,150,30,-300,-150,120,-1170
-30,240,90,90,120,150,NA,NA
-90,1080,30,210,-240,-150,120,-870
NA,NA,NA,NA,NA,NA,NA,NA
-90,900,120,30,-270,-120,180,-750
-300,0,-630,-600,-330,-300,NA,NA
-210,870,-60,0,-330,-240,60,-930
NA,NA,NA,NA,NA,NA,NA,NA
